,Company,Job,Experience,Salary,Location,Skills
0,Ford,Data Scientist,2-7 Yrs,₹ 15.16581 - 13.25L/yr (AmbitionBox estimate),Chennai,"Data Science, Predictive Modeling, python"
1,Ford,Data Scientist,2-7 Yrs,₹ 15.16581 - 13.25L/yr (AmbitionBox estimate),Chennai,"Data Science, Predictive Modeling, python"
2,Ericsson,Looking out For Data Analytics,10-15 Yrs,₹ 15 - 25L/yr,Bengaluru/Bangalore,"analytics, Data Science, data analytics"
3,Ford,Data Scientist,2-7 Yrs,₹ 15.16581 - 13.25L/yr (AmbitionBox estimate),Chennai,"Data Science, Predictive Modeling, python"
4,Ericsson,Looking out For Data Analytics,10-15 Yrs,₹ 15 - 25L/yr,Bengaluru/Bangalore,"analytics, Data Science, data analytics"
5,IBM India Pvt. Limited,AI Engineer,1-5 Yrs,N/A,Bengaluru/Bangalore,"Azure, solution architectures, machine learning"
6,Ford,Data Scientist,2-7 Yrs,₹ 15.16581 - 13.25L/yr (AmbitionBox estimate),Chennai,"Data Science, Predictive Modeling, python"
7,Ericsson,Looking out For Data Analytics,10-15 Yrs,₹ 15 - 25L/yr,Bengaluru/Bangalore,"analytics, Data Science, data analytics"
8,IBM India Pvt. Limited,AI Engineer,1-5 Yrs,N/A,Bengaluru/Bangalore,"Azure, solution architectures, machine learning"
9,IBM India Pvt. Limited,AI Engineer,1-5 Yrs,N/A,Bengaluru/Bangalore,"Azure, Data Science Artificial Intelligence, machine learning"
10,Ford,Data Scientist,2-7 Yrs,₹ 15.16581 - 13.25L/yr (AmbitionBox estimate),Chennai,"Data Science, Predictive Modeling, python"
11,Ericsson,Looking out For Data Analytics,10-15 Yrs,₹ 15 - 25L/yr,Bengaluru/Bangalore,"analytics, Data Science, data analytics"
12,IBM India Pvt. Limited,AI Engineer,1-5 Yrs,N/A,Bengaluru/Bangalore,"Azure, solution architectures, machine learning"
13,IBM India Pvt. Limited,AI Engineer,1-5 Yrs,N/A,Bengaluru/Bangalore,"Azure, Data Science Artificial Intelligence, machine learning"
14,IBM India Pvt. Limited,AI Engineer,1-5 Yrs,N/A,Bengaluru/Bangalore,"Azure, cloud platforms, Data Science"
15,Ford,Data Scientist,2-7 Yrs,₹ 15.16581 - 13.25L/yr (AmbitionBox estimate),Chennai,"Data Science, Predictive Modeling, python"
16,Ericsson,Looking out For Data Analytics,10-15 Yrs,₹ 15 - 25L/yr,Bengaluru/Bangalore,"analytics, Data Science, data analytics"
17,IBM India Pvt. Limited,AI Engineer,1-5 Yrs,N/A,Bengaluru/Bangalore,"Azure, solution architectures, machine learning"
18,IBM India Pvt. Limited,AI Engineer,1-5 Yrs,N/A,Bengaluru/Bangalore,"Azure, Data Science Artificial Intelligence, machine learning"
19,IBM India Pvt. Limited,AI Engineer,1-5 Yrs,N/A,Bengaluru/Bangalore,"Azure, cloud platforms, Data Science"
20,Accenture,Edge Computing Application Lead,8-10 Yrs,₹ 11.2 - 15L/yr (AmbitionBox estimate),Bengaluru/Bangalore,"Analytical skills, data science, Consulting"
21,Ford,Data Scientist,2-7 Yrs,₹ 15.16581 - 13.25L/yr (AmbitionBox estimate),Chennai,"Data Science, Predictive Modeling, python"
22,Ericsson,Looking out For Data Analytics,10-15 Yrs,₹ 15 - 25L/yr,Bengaluru/Bangalore,"analytics, Data Science, data analytics"
23,IBM India Pvt. Limited,AI Engineer,1-5 Yrs,N/A,Bengaluru/Bangalore,"Azure, solution architectures, machine learning"
24,IBM India Pvt. Limited,AI Engineer,1-5 Yrs,N/A,Bengaluru/Bangalore,"Azure, Data Science Artificial Intelligence, machine learning"
